"Kod";"Nazwa";"kolarstwo górskie;ogółem;2016;[osoba]";"kolarstwo górskie;ogółem;2018;[osoba]";
0200000;"DOLNOŚLĄSKIE";496;450;
0400000;"KUJAWSKO-POMORSKIE";45;215;
0600000;"LUBELSKIE";0;37;
0800000;"LUBUSKIE";103;38;
1000000;"ŁÓDZKIE";146;138;
1200000;"MAŁOPOLSKIE";249;248;
1400000;"MAZOWIECKIE";88;118;
1600000;"OPOLSKIE";112;61;
1800000;"PODKARPACKIE";153;130;
2000000;"PODLASKIE";106;94;
2200000;"POMORSKIE";185;161;
2400000;"ŚLĄSKIE";246;703;
2600000;"ŚWIĘTOKRZYSKIE";58;72;
2800000;"WARMIŃSKO-MAZURSKIE";153;132;
3000000;"WIELKOPOLSKIE";227;358;
3200000;"ZACHODNIOPOMORSKIE";58;57;
