"Kod";"Nazwa";"ogółem;2003;[szt.]";"ogółem;2004;[szt.]";"ogółem;2005;[szt.]";"ogółem;2006;[szt.]";"ogółem;2007;[szt.]";"ogółem;2008;[szt.]";"ogółem;2009;[szt.]";"ogółem;2010;[szt.]";"ogółem;2011;[szt.]";"ogółem;2012;[szt.]";"ogółem;2013;[szt.]";"ogółem;2014;[szt.]";"ogółem;2015;[szt.]";"ogółem;2016;[szt.]";"ogółem;2017;[szt.]";"ogółem;2018;[szt.]";"ogółem;2019;[szt.]";"ogółem;2020;[szt.]";
0201000;"Powiat bolesławiecki";;;;;;;27547;30997;34438;36600;38586;40320;42236;44974;47026;49599;52158;54307;
0202000;"Powiat dzierżoniowski";;;;;;;40243;42366;44926;46812;48461;49924;51297;53340;54931;56864;59031;60740;
0203000;"Powiat głogowski";;;;;;;35092;36613;38430;39912;41677;42784;44216;45988;47007;48220;49753;51126;
0204000;"Powiat górowski";;;;;;;18205;19053;19995;20767;21248;21795;22244;22977;23559;24245;25004;25678;
0205000;"Powiat jaworski";;;;;;;22593;24082;25313;26639;27713;28799;29955;31452;32749;33995;35202;36137;
0206000;"Powiat karkonoski";;;;;;;25934;27424;29470;30863;32054;33139;34443;35932;37086;38717;40234;41318;
0207000;"Powiat kamiennogórski";;;;;;;16501;17325;18258;19012;19724;20365;21064;22056;22834;23788;24818;25592;
0208000;"Powiat kłodzki";;;;;;;71777;75362;79798;83277;86238;88635;91575;95233;98278;102119;106493;109934;
0209000;"Powiat legnicki";;;;;;;22047;23489;25483;26623;27904;29090;30366;32078;33245;34644;36373;37649;
0210000;"Powiat lubański";;;;;;;24945;26023;27507;28746;29987;30994;32001;33381;34373;35562;36996;38162;
0211000;"Powiat lubiński";;;;;;;41388;43683;46775;48806;51249;53203;54541;57583;60128;63155;66344;68589;
0212000;"Powiat lwówecki";;;;;;;18848;19936;21642;22743;23933;25109;26226;27817;29031;30505;32151;33432;
0213000;"Powiat milicki";;;;;;;18010;18669;19892;20681;21367;22097;22756;23689;24651;25771;26745;27552;
0214000;"Powiat oleśnicki";;;;;;;45855;48190;51308;53470;55378;57412;59587;62394;64573;66757;69318;71934;
0215000;"Powiat oławski";;;;;;;34191;35907;37642;39233;40782;42203;43672;45680;47599;49720;51604;53020;
0216000;"Powiat polkowicki";;;;;;;23332;24872;26563;27797;28975;30110;31213;32812;33969;35415;36799;38046;
0217000;"Powiat strzeliński";;;;;;;22672;23787;25337;26317;27285;28110;29037;30182;31170;32286;33509;34509;
0218000;"Powiat średzki";;;;;;;23964;25397;27208;28492;29769;31037;32407;34141;35683;37349;39269;40885;
0219000;"Powiat świdnicki";;;;;;;66506;71450;74736;77388;79380;81398;84109;87501;89988;92938;96395;99504;
0220000;"Powiat trzebnicki";;;;;;;38250;40318;42950;44896;47087;48845;50706;52943;55163;57210;59335;60866;
0221000;"Powiat wałbrzyski";;;;;;;67081;69715;73032;75191;68654;63256;59410;56724;54690;53539;54030;54756;
0222000;"Powiat wołowski";;;;;;;22043;23099;24690;25697;26699;27616;28487;29680;30588;31475;32400;33032;
0223000;"Powiat wrocławski";;;;;;;55182;58923;64103;67469;72590;77818;81115;86398;89450;94366;100453;105412;
0224000;"Powiat ząbkowicki";;;;;;;30781;32317;34504;36148;37569;38837;39918;41684;42932;44525;46084;47407;
0225000;"Powiat zgorzelecki";;;;;;;36543;38663;40741;42438;44241;46108;47886;50334;52375;54730;57238;59540;
0226000;"Powiat złotoryjski";;;;;;;18554;19680;20901;21903;22784;23726;24708;25994;27020;28114;29280;30320;
0261000;"Powiat m.Jelenia Góra";;;;;;;37194;38501;40423;41110;42091;42953;44044;45587;46764;48321;50265;51713;
0262000;"Powiat m.Legnica";;;;;;;37546;39514;41823;43353;44970;46279;47738;49831;51025;52684;54543;56289;
0264000;"Powiat m.Wrocław";;;;;;;303761;314061;331292;341172;352848;365058;381831;403063;420935;442005;459889;476466;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;;;;;;8717;15866;21597;27196;31363;35342;37832;39416;
0401000;"Powiat aleksandrowski";;;;;;;22292;23706;24995;25881;26771;27637;28544;29820;30919;32083;33363;34497;
0402000;"Powiat brodnicki";;;;;;;34412;35970;37996;39379;40748;41987;43295;45337;47323;49172;51207;52894;
0403000;"Powiat bydgoski";;;;;;;46866;49829;53323;56115;58904;61362;64176;67393;70417;73791;77468;80731;
0404000;"Powiat chełmiński";;;;;;;19616;20624;21566;22304;23019;23744;24592;25712;26661;27886;29035;29960;
0405000;"Powiat golubsko-dobrzyński";;;;;;;21645;22822;24068;24957;25893;26606;27484;28755;30103;31284;32552;33532;
0406000;"Powiat grudziądzki";;;;;;;18364;19577;20619;21538;22561;23495;24420;25415;26438;27531;28723;30025;
0407000;"Powiat inowrocławski";;;;;;;62862;66501;69991;72884;75961;78636;81709;85169;88473;92311;96329;99478;
0408000;"Powiat lipnowski";;;;;;;29225;30741;32391;33599;35050;36250;37651;39499;41319;43262;45502;47126;
0409000;"Powiat mogileński";;;;;;;21779;22910;23860;24647;25433;26347;27284;28529;29671;30807;31857;32916;
0410000;"Powiat nakielski";;;;;;;35766;37641;39609;41132;42713;44100;45404;47379;48938;50779;52496;53954;
0411000;"Powiat radziejowski";;;;;;;20525;21630;22799;23545;24497;25337;26334;27510;28466;29547;30600;31069;
0412000;"Powiat rypiński";;;;;;;19355;20423;21510;22298;23217;24001;24707;25952;27141;28102;29245;30119;
0413000;"Powiat sępoleński";;;;;;;17853;18898;20429;21363;22397;23341;24295;25504;26535;27667;28693;29662;
0414000;"Powiat świecki";;;;;;;43183;45683;47850;49474;51197;52882;54505;56762;58568;60841;63191;65331;
