"Kod";"Nazwa";"ścieżki rowerowe (drogi dla rowerów) ogółem;2011;[km]";"ścieżki rowerowe (drogi dla rowerów) ogółem;2012;[km]";"ścieżki rowerowe (drogi dla rowerów) ogółem;2013;[km]";"ścieżki rowerowe (drogi dla rowerów) ogółem;2014;[km]";"ścieżki rowerowe (drogi dla rowerów) ogółem;2015;[km]";"ścieżki rowerowe (drogi dla rowerów) ogółem;2016;[km]";"ścieżki rowerowe (drogi dla rowerów) ogółem;2017;[km]";"ścieżki rowerowe (drogi dla rowerów) ogółem;2018;[km]";"ścieżki rowerowe (drogi dla rowerów) ogółem;2019;[km]";"ścieżki rowerowe (drogi dla rowerów) ogółem;2020;[km]";"ścieżki rowerowe na 10 tys. ludności;2011;[km]";"ścieżki rowerowe na 10 tys. ludności;2012;[km]";"ścieżki rowerowe na 10 tys. ludności;2013;[km]";"ścieżki rowerowe na 10 tys. ludności;2014;[km]";"ścieżki rowerowe na 10 tys. ludności;2015;[km]";"ścieżki rowerowe na 10 tys. ludności;2016;[km]";"ścieżki rowerowe na 10 tys. ludności;2017;[km]";"ścieżki rowerowe na 10 tys. ludności;2018;[km]";"ścieżki rowerowe na 10 tys. ludności;2019;[km]";"ścieżki rowerowe na 10 tys. ludności;2020;[km]";
0201000;"Powiat bolesławiecki";8,2;11,8;14,0;24,2;28,9;37,0;41,2;42,0;52,3;57,0;0,91;1,31;1,55;2,68;3,20;4,10;4,57;4,66;5,80;6,35;
0202000;"Powiat dzierżoniowski";80,8;92,3;34,8;199,1;199,4;48,6;51,2;52,5;55,9;58,5;7,64;8,77;3,33;19,13;19,29;4,73;5,02;5,18;5,54;5,85;
0203000;"Powiat głogowski";11,2;11,6;12,6;13,7;15,5;17,3;18,4;21,5;23,3;24,4;1,24;1,28;1,40;1,52;1,72;1,92;2,05;2,40;2,61;2,76;
0204000;"Powiat górowski";0,0;0,0;1,6;3,2;3,2;3,2;3,2;3,2;3,5;4,7;0,00;0,00;0,44;0,88;0,89;0,90;0,90;0,91;1,00;1,36;
0205000;"Powiat jaworski";0,0;0,0;0,0;4,1;4,1;4,1;4,1;7,4;10,5;10,5;0,00;0,00;0,00;0,79;0,80;0,80;0,80;1,46;2,10;2,11;
0206000;"Powiat karkonoski";0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,9;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,09;
0207000;"Powiat kamiennogórski";0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,91;
0208000;"Powiat kłodzki";9,8;7,0;7,9;19,5;19,5;21,7;21,5;32,4;30,7;31,6;0,59;0,42;0,48;1,19;1,20;1,34;1,34;2,03;1,94;2,02;
0209000;"Powiat legnicki";5,9;5,9;10,6;4,1;4,1;4,1;5,0;5,0;5,0;5,0;1,08;1,08;1,93;0,75;0,74;0,74;0,91;0,90;0,91;0,91;
0210000;"Powiat lubański";0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,0;0,0;0,0;0,0;0,0;0,0;
0211000;"Powiat lubiński";18,0;18,7;33,4;37,2;37,4;37,4;41,3;43,3;43,7;44,6;1,68;1,75;3,14;3,50;3,52;3,52;3,88;4,08;4,12;4,21;
0212000;"Powiat lwówecki";7,5;7,5;17,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1;1,57;1,57;3,61;1,72;1,74;1,74;1,75;1,76;1,76;1,78;
0213000;"Powiat milicki";5,0;27,2;8,3;8,6;8,6;8,3;8,9;8,9;8,9;9,6;1,33;7,26;2,22;2,31;2,31;2,23;2,40;2,40;2,41;2,61;
0214000;"Powiat oleśnicki";10,5;11,5;10,5;13,7;13,7;11,8;20,6;28,6;35,4;38,7;0,99;1,09;0,99;1,29;1,29;1,10;1,93;2,67;3,30;3,61;
0215000;"Powiat oławski";0,0;12,0;13,7;13,7;13,7;13,7;15,0;22,7;22,7;18,4;0,00;1,59;1,81;1,80;1,80;1,79;1,96;2,96;2,96;2,40;
