"Kod";"Nazwa";"stopień wykorzystania miejsc noclegowych;2010;[%]";"stopień wykorzystania miejsc noclegowych;2011;[%]";"stopień wykorzystania miejsc noclegowych;2012;[%]";"stopień wykorzystania miejsc noclegowych;2013;[%]";"stopień wykorzystania miejsc noclegowych;2014;[%]";"stopień wykorzystania miejsc noclegowych;2015;[%]";"stopień wykorzystania miejsc noclegowych;2016;[%]";"stopień wykorzystania miejsc noclegowych;2017;[%]";"stopień wykorzystania miejsc noclegowych;2018;[%]";"stopień wykorzystania miejsc noclegowych;2019;[%]";"stopień wykorzystania miejsc noclegowych;2020;[%]";
0201000;"Powiat bolesławiecki";29,1;29,6;25,1;20,6;22,4;23,0;28,3;29,0;34,5;40,6;30,2;
0202000;"Powiat dzierżoniowski";32,9;31,2;32,5;32,9;31,2;33,0;29,1;25,4;24,8;26,0;17,6;
0203000;"Powiat głogowski";40,9;34,2;28,3;31,7;28,4;36,5;34,0;23,5;24,5;29,7;23,5;
0204000;"Powiat górowski";0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
0205000;"Powiat jaworski";14,8;16,1;16,4;12,5;10,9;6,6;23,3;28,5;32,0;30,4;18,1;
0206000;"Powiat karkonoski";23,3;24,0;24,2;24,1;23,4;24,9;28,2;27,9;29,9;32,0;26,4;
0207000;"Powiat kamiennogórski";11,4;12,2;15,6;10,4;13,1;13,3;15,7;18,3;16,1;17,5;11,8;
0208000;"Powiat kłodzki";25,6;25,8;26,3;29,3;35,1;36,9;39,9;41,6;43,0;43,8;30,0;
0209000;"Powiat legnicki";21,3;23,2;23,5;28,0;19,1;21,4;21,8;26,0;31,8;32,8;19,7;
0210000;"Powiat lubański";37,0;37,9;38,0;39,0;35,0;40,7;45,5;45,7;47,5;48,3;32,5;
0211000;"Powiat lubiński";28,4;28,8;29,3;27,0;25,5;23,5;29,1;32,1;31,0;29,7;19,1;
0212000;"Powiat lwówecki";24,9;24,5;21,0;18,3;17,6;18,6;23,9;23,7;25,7;27,1;16,9;
0213000;"Powiat milicki";18,6;21,9;15,3;13,7;19,3;19,5;20,2;21,4;22,4;18,0;9,5;
0214000;"Powiat oleśnicki";24,9;24,6;24,5;20,7;21,3;20,6;27,6;33,6;34,3;31,0;20,8;
0215000;"Powiat oławski";26,7;29,0;30,6;40,4;42,6;38,4;35,4;38,2;41,1;35,2;19,7;
0216000;"Powiat polkowicki";28,8;32,5;36,1;33,0;33,6;31,1;31,9;29,2;27,5;30,2;22,7;
0217000;"Powiat strzeliński";22,2;0,0;19,2;24,9;28,5;24,9;11,9;12,6;12,8;11,7;0,0;
0218000;"Powiat średzki";26,6;30,0;27,9;36,8;33,4;26,4;29,7;29,5;23,4;31,7;20,6;
