"Kod";"Nazwa";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki);2017;[ob.]";"wypożyczalnia sprzętu turystycznego (np. rowery, nordic walking, narty, łyżwy, rolki);2021;[ob.]";
0201000;"Powiat bolesławiecki";2;3;
0202000;"Powiat dzierżoniowski";3;4;
0204000;"Powiat górowski";1;0;
0205000;"Powiat jaworski";0;2;
0206000;"Powiat karkonoski";34;34;
0207000;"Powiat kamiennogórski";1;1;
0208000;"Powiat kłodzki";33;29;
0209000;"Powiat legnicki";3;0;
0210000;"Powiat lubański";10;10;
0212000;"Powiat lwówecki";6;0;
0213000;"Powiat milicki";2;2;
0214000;"Powiat oleśnicki";1;0;
0215000;"Powiat oławski";0;1;
0217000;"Powiat strzeliński";1;0;
0218000;"Powiat średzki";1;0;
0219000;"Powiat świdnicki";5;2;
0220000;"Powiat trzebnicki";1;2;
0221000;"Powiat wałbrzyski";8;10;
0222000;"Powiat wołowski";1;1;
0223000;"Powiat wrocławski";3;4;
0224000;"Powiat ząbkowicki";3;3;
0225000;"Powiat zgorzelecki";1;4;
0226000;"Powiat złotoryjski";1;1;
0261000;"Powiat m.Jelenia Góra";5;6;
0262000;"Powiat m.Legnica";1;1;
0264000;"Powiat m.Wrocław";6;13;
0265000;"Powiat m.Wałbrzych od 2013";1;2;
0401000;"Powiat aleksandrowski";24;14;
0402000;"Powiat brodnicki";6;2;
0403000;"Powiat bydgoski";3;5;
0404000;"Powiat chełmiński";1;1;
0405000;"Powiat golubsko-dobrzyński";1;1;
0406000;"Powiat grudziądzki";3;3;
0407000;"Powiat inowrocławski";3;3;
0408000;"Powiat lipnowski";0;2;
0410000;"Powiat nakielski";0;1;
0411000;"Powiat radziejowski";1;0;
0413000;"Powiat sępoleński";3;1;
0414000;"Powiat świecki";6;4;
0415000;"Powiat toruński";5;5;
0416000;"Powiat tucholski";6;4;
0418000;"Powiat włocławski";3;2;
0419000;"Powiat żniński";4;7;
0461000;"Powiat m.Bydgoszcz";3;2;
0462000;"Powiat m.Grudziądz";5;4;
0463000;"Powiat m.Toruń";3;3;
0464000;"Powiat m.Włocławek";2;3;
0601000;"Powiat bialski";6;4;
0602000;"Powiat biłgorajski";2;2;
0605000;"Powiat janowski";4;1;
0606000;"Powiat krasnostawski";1;1;
0607000;"Powiat kraśnicki";0;1;
0608000;"Powiat lubartowski";4;2;
0609000;"Powiat lubelski";5;2;
0611000;"Powiat łukowski";0;1;
0612000;"Powiat opolski";1;1;
0613000;"Powiat parczewski";2;2;
0614000;"Powiat puławski";14;18;
0618000;"Powiat tomaszowski";4;2;
0619000;"Powiat włodawski";8;5;
0620000;"Powiat zamojski";6;2;
0661000;"Powiat m.Biała Podlaska";2;2;
0663000;"Powiat m.Lublin";3;2;
0664000;"Powiat m.Zamość";2;0;
0801000;"Powiat gorzowski";1;1;
0802000;"Powiat krośnieński";3;0;
0803000;"Powiat międzyrzecki";8;6;
0804000;"Powiat nowosolski";1;2;
0805000;"Powiat słubicki";4;3;
0806000;"Powiat strzelecko-drezdenecki";9;7;
0807000;"Powiat sulęciński";2;1;
0808000;"Powiat świebodziński";10;5;
0809000;"Powiat zielonogórski";4;1;
0810000;"Powiat żagański";3;1;
0811000;"Powiat żarski";2;1;
0812000;"Powiat wschowski";1;2;
0861000;"Powiat m.Gorzów Wielkopolski";1;1;
0862000;"Powiat m.Zielona Góra";0;6;
1001000;"Powiat bełchatowski";3;0;
1003000;"Powiat łaski";2;1;
1005000;"Powiat łowicki";2;1;
1007000;"Powiat opoczyński";1;1;
1008000;"Powiat pabianicki";1;2;
1010000;"Powiat piotrkowski";6;5;
1011000;"Powiat poddębicki";7;7;
1012000;"Powiat radomszczański";0;1;
1013000;"Powiat rawski";2;2;
1014000;"Powiat sieradzki";2;2;
1015000;"Powiat skierniewicki";1;0;
1016000;"Powiat tomaszowski";10;9;
1017000;"Powiat wieluński";4;3;
1018000;"Powiat wieruszowski";1;3;
1020000;"Powiat zgierski";5;2;
1021000;"Powiat brzeziński";2;1;
1061000;"Powiat m.Łódź";3;1;
1062000;"Powiat m.Piotrków Trybunalski";0;2;
1201000;"Powiat bocheński";3;2;
1203000;"Powiat chrzanowski";1;1;
1205000;"Powiat gorlicki";7;5;
1206000;"Powiat krakowski";6;4;
1207000;"Powiat limanowski";5;4;
