,Kod,Nazwa,IAL_Salony
91,1001000,Powiat bełchatowski,100
10,211000,Powiat lubiński,99
178,1465000,Powiat m. st. Warszawa,99
276,2467000,Powiat m.Jastrzębie-Zdrój,91
252,2264000,Powiat m.Sopot,83
249,2261000,Powiat m.Gdańsk,73
175,1462000,Powiat m.Płock,72
28,264000,Powiat m.Wrocław,72
336,3013000,Powiat leszczyński,70
278,2469000,Powiat m.Katowice,70
214,1863000,Powiat m.Rzeszów,70
358,3064000,Powiat m.Poznań,68
134,1261000,Powiat m.Kraków,67
243,2211000,Powiat pucki,67
234,2202000,Powiat chojnicki,67
151,1415000,Powiat ostrołęcki,67
157,1421000,Powiat pruszkowski,64
230,2061000,Powiat m.Białystok,62
32,403000,Powiat bydgoski,62
150,1414000,Powiat nowodworski,62
369,3211000,Powiat policki,62
216,2001000,Powiat augustowski,61
75,663000,Powiat m.Lublin,61
250,2262000,Powiat m.Gdynia,61
190,1661000,Powiat m.Opole,60
323,2862000,Powiat m.Olsztyn,60
51,463000,Powiat m.Toruń,60
177,1464000,Powiat m.Siedlce,59
277,2468000,Powiat m.Jaworzno,59
357,3063000,Powiat m.Leszno,59
62,610000,Powiat łęczyński,59
76,664000,Powiat m.Zamość,58
379,3263000,Powiat m.Świnoujście,58
275,2466000,Powiat m.Gliwice,57
272,2463000,Powiat m.Chorzów,56
112,1061000,Powiat m.Łódź,55
174,1461000,Powiat m.Ostrołęka,55
285,2476000,Powiat m.Świętochłowice,55
136,1263000,Powiat m.Tarnów,55
232,2063000,Powiat m.Suwałki,55
378,3262000,Powiat m.Szczecin,54
77,801000,Powiat gorzowski,54
158,1422000,Powiat przasnyski,52
286,2477000,Powiat m.Tychy,52
21,222000,Powiat wołowski,52
377,3261000,Powiat m.Koszalin,51
283,2474000,Powiat m.Siemianowice Śląskie,51
44,415000,Powiat toruński,51
167,1432000,Powiat warszawski zachodni,50
251,2263000,Powiat m.Słupsk,49
71,619000,Powiat włodawski,49
49,461000,Powiat m.Bydgoszcz,48
334,3011000,Powiat kościański,48
271,2462000,Powiat m.Bytom,48
248,2216000,Powiat sztumski,47
321,2819000,Powiat węgorzewski,47
26,261000,Powiat m.Jelenia Góra,47
231,2062000,Powiat m.Łomża,46
287,2478000,Powiat m.Zabrze,46
181,1603000,Powiat kędzierzyńsko-kozielski,46
208,1818000,Powiat stalowowolski,46
218,2003000,Powiat bielski,46
347,3024000,Powiat szamotulski,46
143,1407000,Powiat kozienicki,46
52,464000,Powiat m.Włocławek,46
328,3005000,Powiat grodziski,45
302,2661000,Powiat m.Kielce,45
176,1463000,Powiat m.Radom,45
274,2465000,Powiat m.Dąbrowa Górnicza,45
85,809000,Powiat zielonogórski,45
220,2005000,Powiat hajnowski,45
29,265000,Powiat m.Wałbrzych od 2013,45
80,804000,Powiat nowosolski,44
27,262000,Powiat m.Legnica,44
284,2475000,Powiat m.Sosnowiec,44
213,1862000,Powiat m.Przemyśl,44
270,2461000,Powiat m.Bielsko-Biała,44
50,462000,Powiat m.Grudziądz,43
1,202000,Powiat dzierżoniowski,43
322,2861000,Powiat m.Elbląg,43
355,3061000,Powiat m.Kalisz,43
365,3207000,Powiat kamieński,43
338,3015000,Powiat nowotomyski,43
236,2204000,Powiat gdański,42
356,3062000,Powiat m.Konin,42
224,2009000,Powiat sejneński,42
99,1009000,Powiat pajęczański,42
280,2471000,Powiat m.Piekary Śląskie,41
183,1605000,Powiat krapkowicki,41
83,807000,Powiat sulęciński,41
114,1063000,Powiat m.Skierniewice,41
34,405000,Powiat golubsko-dobrzyński,41
89,861000,Powiat m.Gorzów Wielkopolski,41
101,1011000,Powiat poddębicki,41
266,2414000,Powiat bieruńsko-lędziński,40
78,802000,Powiat krośnieński,40
367,3209000,Powiat koszaliński,40
90,862000,Powiat m.Zielona Góra,40
366,3208000,Powiat kołobrzeski,39
273,2464000,Powiat m.Częstochowa,39
87,811000,Powiat żarski,39
15,216000,Powiat polkowicki,38
352,3029000,Powiat wolsztyński,38
84,808000,Powiat świebodziński,38
241,2209000,Powiat malborski,38
141,1405000,Powiat grodziski,38
324,3001000,Powiat chodzieski,38
153,1417000,Powiat otwocki,38
170,1435000,Powiat wyszkowski,38
244,2212000,Powiat słupski,38
281,2472000,Powiat m.Ruda Śląska,37
17,218000,Powiat średzki,36
240,2208000,Powiat lęborski,36
144,1408000,Powiat legionowski,36
311,2809000,Powiat lidzbarski,36
339,3016000,Powiat obornicki,36
46,417000,Powiat wąbrzeski,36
81,805000,Powiat słubicki,36
74,662000,Powiat m.Chełm,36
263,2411000,Powiat raciborski,35
164,1428000,Powiat sochaczewski,35
173,1438000,Powiat żyrardowski,35
82,806000,Powiat strzelecko-drezdenecki,34
235,2203000,Powiat człuchowski,34
201,1811000,Powiat mielecki,34
327,3004000,Powiat gostyński,34
212,1861000,Powiat m.Krosno,33
362,3204000,Powiat goleniowski,33
342,3019000,Powiat pilski,33
259,2407000,Powiat lubliniecki,33
320,2818000,Powiat gołdapski,33
109,1019000,Powiat zduńskowolski,33
233,2201000,Powiat bytowski,33
239,2207000,Powiat kwidzyński,33
120,1206000,Powiat krakowski,33
138,1402000,Powiat ciechanowski,33
202,1812000,Powiat niżański,32
154,1418000,Powiat piaseczyński,32
22,223000,Powiat wrocławski,32
282,2473000,Powiat m.Rybnik,32
344,3021000,Powiat poznański,32
69,617000,Powiat świdnicki,32
42,413000,Powiat sępoleński,32
43,414000,Powiat świecki,32
288,2479000,Powiat m.Żory,32
