,Kod,Nazwa,IAL_Wypożyczalnie
30,401000,Powiat aleksandrowski,100
243,2211000,Powiat pucki,98
366,3208000,Powiat kołobrzeski,97
234,2202000,Powiat chojnicki,96
365,3207000,Powiat kamieński,94
199,1809000,Powiat lubaczowski,93
36,407000,Powiat inowrocławski,91
320,2818000,Powiat gołdapski,91
230,2061000,Powiat m.Białystok,88
357,3063000,Powiat m.Leszno,86
216,2001000,Powiat augustowski,86
178,1465000,Powiat m. st. Warszawa,86
232,2063000,Powiat m.Suwałki,85
252,2264000,Powiat m.Sopot,85
272,2463000,Powiat m.Chorzów,84
379,3263000,Powiat m.Świnoujście,83
371,3213000,Powiat sławieński,83
336,3013000,Powiat leszczyński,82
374,3216000,Powiat świdwiński,82
367,3209000,Powiat koszaliński,81
71,619000,Powiat włodawski,81
134,1261000,Powiat m.Kraków,80
251,2263000,Powiat m.Słupsk,80
44,415000,Powiat toruński,79
28,264000,Powiat m.Wrocław,79
47,418000,Powiat włocławski,78
289,2601000,Powiat buski,78
321,2819000,Powiat węgorzewski,78
151,1415000,Powiat ostrołęcki,78
214,1863000,Powiat m.Rzeszów,77
51,463000,Powiat m.Toruń,77
76,664000,Powiat m.Zamość,77
244,2212000,Powiat słupski,77
75,663000,Powiat m.Lublin,77
281,2472000,Powiat m.Ruda Śląska,76
328,3005000,Powiat grodziski,76
158,1422000,Powiat przasnyski,75
32,403000,Powiat bydgoski,74
26,261000,Powiat m.Jelenia Góra,74
283,2474000,Powiat m.Siemianowice Śląskie,72
249,2261000,Powiat m.Gdańsk,72
89,861000,Powiat m.Gorzów Wielkopolski,72
377,3261000,Powiat m.Koszalin,71
266,2414000,Powiat bieruńsko-lędziński,71
177,1464000,Powiat m.Siedlce,71
50,462000,Powiat m.Grudziądz,70
271,2462000,Powiat m.Bytom,70
202,1812000,Powiat niżański,70
284,2475000,Powiat m.Sosnowiec,70
112,1061000,Powiat m.Łódź,69
358,3064000,Powiat m.Poznań,69
136,1263000,Powiat m.Tarnów,69
287,2478000,Powiat m.Zabrze,68
231,2062000,Powiat m.Łomża,68
